"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
39,"400000","  8.0","200000","-10.000","Medium steep","Low","Medium","Gag groups","Mortality and foraging","1zyBXs45tZsFkH266vzKB6C23HPuQ5MTg","1DsxjM_kqIkRvcUeV-6B5WBk_4OmfocOQ"
40,"400000","  4.0","200000","-10.000","Steep","Low","Medium","Gag groups","Mortality and foraging","1wNX5T7P32VA0Efz4_zcvpV1cSvHa7AmR","1Ok_cN9r-3Bwv-UBtw2Eu4eO5sVP7xl2u"
41,"400000","400.0","300000","-15.000","Flat","Low","Low","Gag groups","Mortality and foraging","1dqf467W-aSxDdULWyJURVvb8s7D4zunE","1hcISUorJs3Qeqa4GDN2HXMLoJQeKekqN"
42,"400000"," 20.0","300000","-15.000","Medium flat","Low","Low","Gag groups","Mortality and foraging","1ixAH3YFyY5TPgcXJoO3yO3LdOEPnDCwo","1cVXoF3kUAmfmGgfzqUeguOHcDxQHTTvR"
43,"400000","  8.0","300000","-15.000","Medium steep","Low","Low","Gag groups","Mortality and foraging","1xFOndYJoVbPifSCYQiri3zi3kDEOVBsl","1-q-13OhCbVLJbZGFBvElt0JX0rnyYJhX"
44,"400000","  4.0","300000","-15.000","Steep","Low","Low","Gag groups","Mortality and foraging","11KKOAdBIOZuuVxibgdFQRIiNfNqn3NIL","1jRoTbULCmfBWJX75bdRPAgKyGok48hZn"
45,"200000","200.0"," 50000"," -2.500","Flat","Medium","High","Gag groups","Mortality and foraging","13GzEgmS0GO6pFpNyrMv7r59XtMA4jNBe","1gjp4N06Jl887NTyhzIijzGIAKBBR_v_A"
46,"200000"," 10.0"," 50000"," -2.500","Medium flat","Medium","High","Gag groups","Mortality and foraging","1wieR0p2fggfgwscB1_YpX6XAdMb6HxAO","1Od0HPSn3QOEDRAyUoCo-Ek9_YH-hFoDI"
47,"200000","  4.0"," 50000"," -2.500","Medium steep","Medium","High","Gag groups","Mortality and foraging","15xyzAHEG8ED7gBQnLLWg5opgeEhz0kYN","14oPGPn7I1bZBazDB-plSvfCcVjKK7z1C"
48,"200000","  2.0"," 50000"," -2.500","Steep","Medium","High","Gag groups","Mortality and foraging","1rNJyv6nFjZlOaP4PpwSL0kt2KiqND2p0","1OO6WYyjGhADExkD2ugyojlvyPKrwjSF5"
49,"200000","200.0","100000"," -5.000","Flat","Medium","Medium","Gag groups","Mortality and foraging","1zz8L2JSe9unP0H5xtUOiG7SVFVoCgQzs","1CUPXW0P_zhLXdIBl0d0O2uSHsz29Jhbn"
50,"200000"," 10.0","100000"," -5.000","Medium flat","Medium","Medium","Gag groups","Mortality and foraging","1cy3rGB72VrVi3IsPcXXWDla2dD7bjBz7","16Ouoju7rzV1Kq0ANmsVqsV1tKRg0bUC5"
51,"200000","  4.0","100000"," -5.000","Medium steep","Medium","Medium","Gag groups","Mortality and foraging","1a9YcoXJt6MOJCvIl1cvvLGGHJERnHnZo","1fWdMJZoJN7v3mqkc-itOegziUI0R7XYb"
